;cpi;lci;exp1;exp10;energy_cpi;food_cpi;vu;shortage;productivity;fiscal
2022-01-01;287,472;151,8000000;3,05769883;1,94721641;300,099;295,891;1,86079;20;110,212;-1,314606967
2022-04-01;294,728;154,0000000;4,22671337;2,40126382;328,339;304,571;1,9302;32;109,296;-0,676006064
2022-07-01;296,539;155,8000000;4,17914969;2,36598926;295,502;312,820;1,86338;17;109,295;-8,050423953
2022-10-01;298,990;157,6000000;2,86811918;2,21937769;287,176;318,109;1,80971;23;110,02;-2,168949043
2023-01-01;301,808;159,5000000;2,07333835;2,25574141;280,955;321,000;1,69883;20;110,215;-5,15589234
2023-04-01;304,099;161,1;2,22300000;2,00700000;277,109;322,40600000;1,60091;13;111,133;-0,278495136
2023-07-01;307,374;162,8;2,63100000;2,14100000;293,194;324,33200000;1,46638;13;112,424;-0,14295213
2023-10-01;308,735;164,4;2,88400000;2,34172900;280,311;326,44200000;1,35437;10;113,391;-2,364427353
2024-01-01;312,107;166,2;2,30900000;2,17648000;285,463;328,00400000;1,30867;10;113,845;-2,730442556
2024-04-01;313,131;167,6;2,78800000;2,38717500;279,824;329,65100000;1,14798;10;114,43;1,441358022
2024-07-01;314,851;168,9;2,37900000;2,21890000;273,238;331,71600000;1,05634;8;115,241;-2,547190253
2024-10-01;317,603;170,5;2,44600000;2,25764000;279,455;334,45600000;1,10368;10;115,725;-4,189942314
2025-01-01;319,615;171,8;2,51200000;2,40252000;276,274;337,68600000;1,06948;11;115,303;-2,912205862
